study_ID,title,topic,topic2,year,authors,phenotype,Notes,Mean,Min mean,Max mean,Among_SD,Within nest,test,difference,Lat,Long,Major.group,Group,Group3,Group2,Back,Water,Genus,Species,Animal,Name,Order,family
45,Nesting Behavior and the use of termitaria by the Andros Iguana (Cyclura cychlura cychlura),Nest site selection,Evolution,2008,"Knapp, CR and Owens, AK ",y,,32.6,26.2,40.7,1.5,,,,24.244676,-77.66938,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Cyclura,cychlura,Cyclura_cychlura,,,
32,Maternal nest-site choice in a lizard with temperature-dependent sex determination,Nest site selection,Evolution,2008,"Warner, DA and Shine, R ",n,eggs were incubated for in the field nests for 62 days then moved to the lab (86%),25.1,22.6,27.6,1.2,,,,-34.115736,151.052537,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Amphibolurus,muricatus,Amphibolurus_muricatus,,,
42,"Nesting lizards (Bassiana duperreyi) compensate partly, but not completely, for climate change",Climate change,Climate change,2009,"Telemeco, RS and Elphick, MJ and Shine, R ",n,Data years are the same as the shine papers above,18.5,17,20,,,,,-35.21,148.5,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,bassiana,duperreyi,Bassiana_duperreyi,,,
43,Nesting ecology of the critically endangered fijian crested iguana brachylophus vitiensis in a pacific tropical dry forest,Breeding ecology,General ecology,2009,"Morrison, S.E., Harlow, P.S., Keogh, J.S.",y,Yadua Taba,24.5,23.48,25.18,0.59,,,,-16.833333,178.333333,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Brachylophus,vitiensis,Brachylophus_vitiensis,,,
51,"Nesting in a thermally challenging environment: nest-site selection in a rock-dwelling gecko, Oedura lesueurii (Reptilia: Gekkonidae)",Nest site selection,Evolution,2010,"Pike, DA and Webb, JK and Shine, R ",y,,22.7,,,,,,,-34.983946,150.222462,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Oedura,lesueurii,Diplodactylus_vittatus,,,
47,Climate change impacts on fitness depend on nesting habitat in lizards,Climate change,Climate change,2011,"Huang, WS and Pike, DA ",y,,30.2,,,1.2,,,,22.0444,121.5711111,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Eutropis,longicaudata,Eutropis_longicaudata,,,
50,Embryonic mortality as a cost of communal nesting in the delicate skink,Offspring phenotype,Evolution,2011,"Cheetham, E and Doody, JS and Stewart, B and Harlow, P ",y,,27.4,,,2.66,,,,-33.78722,151.142778,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Lampropholis,delicata,Lampropholis_delicata,,,
34,"Thermal and morphological aspects of the Aspidoscelis costata nest in Guerrero, Mexico",Nest environment,Thermoregulation,2013,"Lara-Resendiz, RA and de la Vega-Perez, AHD and Jimenez-Arcos, VH and Mendez-De la Cruz, FR and Lara-Resendiz, Rafael A. and Diaz de la Vega-Perez, Anibal H. and Jimenez-Arcos, Victor H. and Mendez-De la Cruz, Fausto R.",n,,28.4,21.1,38.5,0.2,,,,18.5218,-99.6065,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Aspidoscelis,costata,Aspidoscelis_costata,,,
52,Communal nesting under climate change: fitness consequences of higher incubation temperatures for anocturnal lizard,Climate change,Climate change,2016,"Dayan and a, B and Gray, S and Pike, D and Webb, JK ",n,No phenotypes -incubated in the lab,22.7,,,,,,,-34.9844,150.239,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Oedura,lesueurii,Diplodactylus_vittatus,,,
256,Seasonal sex ratios and the evolution of temperature-dependent sex determination in oviparous lizards,Sex ratio,Evolution,2016,"Pezaro, Thompson and Doody",,Canberra,25.3,,,2,,,,-35.3,150.28,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Intellagama,lesueurii,Intellagama_lesueurii,,,
257,Thermal ecology of three coexistent desert lizards: Implications for habitat divergence and thermal vulnerability,Climate change,Climate change,2017,"Li, SR., Yang Wang, Liang Ma, Zhi-Gao Zeng, Jun-Huai Bi3, Wei-Guo Du",n,,25.9,,,0.61,,,,40.823209,111.714259,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Phrynocephalus,przewalskii,Phrynocephalus_przewalskii,,,
33,Living in the Extremes: The Thermal Ecology of Communal Nests of the Highland Andean Lizard Anadia bogotensis (Squamata: Gymnophthalmidae),Nest environment,Thermoregulation,2018,"Calderon-Espinosa, ML and Jerez, A and Medina-Rangel, GF ",y,saved,15.895,9.88,21.91,,,,,4.66267,-74.01615,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Anadia,bogotensis,Anadia_bogotensis,,,
30,Nest site selection in a southern and northern population of the velvet gecko (Amalosia lesueurii),Nest site selection,Evolution,2021,"Cuartas-Villa, S and Webb, JK ",n,Morton,25.8,,,0.3,,,,-34.984367,150.240008,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Amalosia,lesueurii,Amalosia_lesueurii,,,
30,Nest site selection in a southern and northern population of the velvet gecko (Amalosia lesueurii),Nest site selection,Evolution,2021,"Cuartas-Villa, S and Webb, JK ",n,Yengo,25.7,,,0.46,,,,-33.048229,150.91904,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Amalosia,lesueurii,Amalosia_lesueurii,,,
