Lat,emmean,lower.HPD,upper.HPD,Major.group
14.26,26.99371754,21.53470636,32.00439936,Amphibian
14.51,26.94592971,21.52305912,31.96616463,Amphibian
14.76,26.89376729,21.4868501,31.89580516,Amphibian
15.01,26.83916046,21.45064108,31.82544569,Amphibian
15.26,26.79044136,21.41443206,31.75508621,Amphibian
15.51,26.72390414,21.37822304,31.68472674,Amphibian
15.76,26.66026126,21.33152841,31.61697247,Amphibian
16.01,26.61026655,21.30580499,31.55472007,Amphibian
16.26,26.55695956,21.25244433,31.47364832,Amphibian
16.51,26.49057797,21.23093754,31.40549439,Amphibian
16.76,26.42314945,21.18481865,31.33292937,Amphibian
17.01,26.35912571,21.1388706,31.28871598,Amphibian
17.26,26.29253149,21.12475988,31.24606373,Amphibian
17.51,26.23378777,21.07027433,31.20341149,Amphibian
17.76,26.1781966,21.11986534,31.20029624,Amphibian
18.01,26.11775436,21.07311607,31.13144212,Amphibian
18.26,26.06501594,20.95668541,30.9996714,Amphibian
18.51,25.99688759,21.03143055,31.03280251,Amphibian
18.76,25.94154047,20.84319521,30.84527436,Amphibian
19.01,25.88004046,20.84021698,30.80769128,Amphibian
19.26,25.81861455,20.783618,30.72078102,Amphibian
19.51,25.76315517,20.79887868,30.6839046,Amphibian
19.76,25.70575279,20.75829434,30.62093408,Amphibian
20.01,25.64269328,20.7036671,30.55868168,Amphibian
20.26,25.58758341,20.62650194,30.47179434,Amphibian
20.51,25.53281244,20.58061022,30.39488719,Amphibian
20.76,25.47955873,20.53937305,30.33900994,Amphibian
21.01,25.41505135,20.54088388,30.31292241,Amphibian
21.26,25.35681216,20.51890483,30.24741968,Amphibian
21.51,25.29644083,20.46549818,30.18516728,Amphibian
21.76,25.2339522,20.39785807,30.12291488,Amphibian
22.01,25.17277129,20.32028834,30.03606765,Amphibian
22.26,25.11636085,20.26257785,29.97382099,Amphibian
22.51,25.05787932,20.23442194,29.93615769,Amphibian
22.76,25.00263283,20.1679764,29.87390529,Amphibian
23.01,24.94601747,20.0481402,29.75435982,Amphibian
23.26,24.89085992,19.99201742,29.6855057,Amphibian
23.51,24.83394506,19.9229388,29.61665159,Amphibian
23.76,24.77357955,19.97804737,29.6684829,Amphibian
24.01,24.71012116,19.74517495,29.44196284,Amphibian
24.26,24.65390047,19.67462374,29.37326754,Amphibian
24.51,24.60142798,19.65381689,29.34123513,Amphibian
24.76,24.54433362,19.58617678,29.26517762,Amphibian
25.01,24.4842096,19.54236709,29.21113266,Amphibian
25.26,24.42402068,19.49401138,29.17876986,Amphibian
25.51,24.36716943,19.44565567,29.12613126,Amphibian
25.76,24.3125338,19.39729995,29.07349266,Amphibian
26.01,24.25785548,19.36857419,29.04012094,Amphibian
26.26,24.20490876,19.00448328,28.65926939,Amphibian
26.51,24.15464434,18.95591532,28.59224161,Amphibian
26.76,24.09684265,18.91119089,28.53055301,Amphibian
27.01,24.04011819,19.20804443,28.84347936,Amphibian
27.26,23.97669448,19.1194771,28.76842543,Amphibian
27.51,23.91911967,18.55357265,28.19672723,Amphibian
27.76,23.85619599,18.51637677,28.14292718,Amphibian
28.01,23.7948733,19.12290085,28.74946062,Amphibian
28.26,23.73438499,19.08400872,28.68919969,Amphibian
28.51,23.67551237,19.04511658,28.6520296,Amphibian
28.76,23.62271001,18.44056672,28.03704418,Amphibian
